"No","학과명","학교명","구분","학교종류","학교지역","소재지","소재지(상세)","설립구분","주야구분","학과특성","표준분류계열(대)","표준분류계열(중)","표준분류계열(소)","관심"
"1","인공지능공학부(컴퓨터공학전공)(주간)","국립한국해양대학교","본교","대학교","부산","부산","영도구","국립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","전산학ㆍ컴퓨터공학",""
"2","정보컴퓨터공학부 인공지능전공(주간)","부산대학교","본교","대학교","부산","부산","금정구","국립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","인공지능공학",""
"3","정보컴퓨터공학부 컴퓨터공학전공(주간)","부산대학교","본교","대학교","부산","부산","금정구","국립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","전산학ㆍ컴퓨터공학",""
"4","정보컴퓨터공학부(디자인테크놀로지전공)(주간)","부산대학교","본교","대학교","부산","부산","금정구","국립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"5","정보컴퓨터공학부(주간)","부산대학교","본교","대학교","부산","부산","금정구","국립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","전산학ㆍ컴퓨터공학",""
"6","컴퓨터공학과(원격)","부산디지털대학교","본교","사이버대학(대학)","부산","부산","사상구","사립","원격","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","전산학ㆍ컴퓨터공학",""
"7","컴퓨터공학과(주간)","경성대학교","본교","대학교","부산","부산","남구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","전산학ㆍ컴퓨터공학",""
"8","컴퓨터공학과(주간)","동명대학교","본교","대학교","부산","부산","남구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","전산학ㆍ컴퓨터공학",""
"9","컴퓨터공학과(주간)","동아대학교","본교","대학교","부산","부산","사하구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","전산학ㆍ컴퓨터공학",""
"10","컴퓨터공학과(주간)","동의대학교","본교","대학교","부산","부산","부산진구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","전산학ㆍ컴퓨터공학",""
"11","컴퓨터공학과(주간)","신라대학교","본교","대학교","부산","부산","사상구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","전산학ㆍ컴퓨터공학",""
"12","컴퓨터공학부(주간)","동서대학교","본교","대학교","부산","부산","사상구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","전산학ㆍ컴퓨터공학",""
"13","컴퓨터공학전공(주간)","국립부경대학교","본교","대학교","부산","부산","남구","국립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","전산학ㆍ컴퓨터공학",""
"14","컴퓨터공학전공(주간)","동서대학교","본교","대학교","부산","부산","사상구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","전산학ㆍ컴퓨터공학",""
"15","컴퓨터공학전공(주간)","부산외국어대학교","본교","대학교","부산","부산","금정구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","전산학ㆍ컴퓨터공학",""
