"No","학과명","학교명","구분","학교종류","학교지역","소재지","소재지(상세)","설립구분","주야구분","학과특성","표준분류계열(대)","표준분류계열(중)","표준분류계열(소)","관심"
"1","AI・SW학부(모빌리티SW전공)(주간)","조선대학교","본교","대학교","광주","광주","동구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"2","AI・빅데이터전공(주간)","경기대학교","본교","대학교","경기","경기","수원시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"3","AI공학전공(주간)","동서대학교","본교","대학교","부산","부산","사상구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"4","AI모빌리티학과(주간)","유원대학교","본교","대학교","충북","충남","아산시","사립","주간","계약학과","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"5","AI모빌리티학과(주간)","한서대학교","본교","대학교","충남","충남","서산시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"6","AI미디어콘텐츠학과(주간)","광주여자대학교","본교","대학교","광주","광주","광산구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"7","AI반도체융합전공(주간)","한경국립대학교","본교","대학교","경기","경기","평택시","국립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"8","AI반도체융합학부(주간)","한경국립대학교","본교","대학교","경기","경기","평택시","국립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"9","AI소프트웨어(주간)","수원대학교","본교","대학교","경기","경기","화성시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"10","AI소프트웨어공학과(원격)","서울디지털대학교","본교","사이버대학(대학)","서울","서울","강서구","사립","원격","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"11","AI소프트웨어학과(주간)","선문대학교","본교","대학교","충남","충남","아산시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"12","AI소프트웨어학과(주간)","한국공학대학교","본교","대학교","경기","경기","시흥시","사립","주간","계약학과","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"13","AI소프트웨어학부(주간)","대전대학교","본교","대학교","대전","대전","동구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"14","AI융합학과(원격)","글로벌사이버대학교","본교","사이버대학(대학)","충남","충남","천안시","사립","원격","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"15","AI융합학부(원격)","글로벌사이버대학교","본교","사이버대학(대학)","충남","충남","천안시","사립","원격","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"16","AI응용소프트웨어공학과(원격)","한양사이버대학교","본교","사이버대학(대학)","서울","서울","성동구","사립","원격","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"17","AI응용학과(주간)","목원대학교","본교","대학교","대전","대전","서구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"18","AI학과(주간)","중앙대학교","본교","대학교","서울","서울","동작구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"19","Computer Science학과(주간)","동서대학교","본교","대학교","부산","부산","사상구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"20","Game Development학과(주간)","동서대학교","본교","대학교","부산","부산","사상구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"21","ICT융합콘텐츠전공(원격)","경희사이버대학교","본교","사이버대학(대학)","서울","서울","동대문구","사립","원격","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"22","ICT융합학과(주간)","경북대학교","본교","대학교","대구","대구","북구","국립","주간","계약학과","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"23","ICT융합학부(주간)","한양대학교(ERICA)","분교","대학교","경기","경기","안산시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"24","IT・디자인융합학부(원격)","경희사이버대학교","본교","사이버대학(대학)","서울","서울","동대문구","사립","원격","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"25","IT소프트웨어공학과(야간)","대전대학교","본교","대학교","대전","대전","동구","사립","야간","계약학과","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"26","IT소프트웨어학과(주간)","한라대학교","본교","대학교","강원","강원","원주시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"27","IT운영관리전공(주간)","대구가톨릭대학교","본교","대학교","경북","경북","경산시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"28","IT융합학부(주간)","서울신학대학교","본교","대학교","경기","경기","부천시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"29","IoT인공지능융합전공(주간)","전남대학교","본교","대학교","광주","광주","북구","국립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"30","SW융합학과(주간)","한성대학교","본교","대학교","서울","서울","성북구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"31","SW융합학부 SW융합경제경영전공(주간)","단국대학교","본교","대학교","경기","경기","용인시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"32","SW융합학부 SW융합바이오전공(주간)","단국대학교","본교","대학교","경기","경기","용인시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"33","SW융합학부 SW융합콘텐츠전공(주간)","단국대학교","본교","대학교","경기","경기","용인시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"34","SW융합학부 게임전공(주간)","상명대학교","본교","대학교","서울","서울","종로구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"35","SW융합학부 글로벌SW융합전공(주간)","단국대학교","본교","대학교","경기","경기","용인시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"36","SW융합학부(주간)","단국대학교","본교","대학교","경기","경기","용인시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"37","XR스마트미디어융합전공(주간)","한남대학교","본교","대학교","대전","대전","대덕구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"38","가상현실융합학과(주간)","덕성여자대학교","본교","대학교","서울","서울","도봉구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"39","가상현실학과(주간)","남서울대학교","본교","대학교","충남","충남","천안시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"40","게임・영상학과(4년제)(주간)","가천대학교","본교","대학교","경기","경기","성남시","사립","주간","계약학과","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"41","게임・영상학과(주간)","가천대학교","본교","대학교","경기","경기","성남시","사립","주간","계약학과","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"42","게임공학과(주간)","동명대학교","본교","대학교","부산","부산","남구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"43","게임공학과(주간)","동의대학교","본교","대학교","부산","부산","부산진구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"44","게임공학과(주간)","한국공학대학교","본교","대학교","경기","경기","시흥시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"45","게임공학전공(주간)","대구가톨릭대학교","본교","대학교","경북","경북","경산시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"46","게임공학전공(주간)","배재대학교","본교","대학교","대전","대전","서구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"47","게임멀티미디어학부 게임소프트웨어전공(주간)","우송대학교","본교","대학교","대전","대전","동구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"48","게임소프트웨어공학과(주간)","목원대학교","본교","대학교","대전","대전","서구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"49","게임소프트웨어전공(주간)","중부대학교","본교","대학교","충남","경기","고양시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"50","게임소프트웨어학과(주간)","계명대학교","본교","대학교","대구","대구","달서구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"51","게임소프트웨어학과(주간)","호서대학교","본교","대학교","충남","충남","아산시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"52","게임콘텐츠학과(주간)","전주대학교","본교","대학교","전북","전북","전주시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"53","게임콘텐츠학전공(주간)","원광대학교","본교","대학교","전북","전북","익산시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"54","게임학과(주간)","경남대학교","본교","대학교","경남","경남","창원시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"55","게임학과(주간)","인제대학교","본교","대학교","경남","경남","김해시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"56","게임학부 게임소프트웨어전공(공학계)(주간)","홍익대학교","제2캠퍼스","대학교","세종","세종","세종특별자치시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"57","게임학부(주간)","동양대학교","본교","대학교","경북","경기","동두천시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"58","국방XR학부(주간)","건양대학교","본교","대학교","충남","충남","논산시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"59","국제학부(게임콘텐츠디자인전공)(주간)","전주대학교","본교","대학교","전북","전북","전주시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"60","국제학부(글로벌소프트웨어융합전공)(주간)","국립한밭대학교","본교","대학교","대전","대전","유성구","국립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"61","국제학부(융합소프트웨어)(주간)","충북대학교","본교","대학교","충북","충북","청주시","국립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"62","글로벌IT(주간)","배재대학교","본교","대학교","대전","대전","서구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"63","글로벌문화기술융합전공(주간)","경희대학교","본교","대학교","서울","경기","용인시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"64","글로벌미디어학부(주간)","숭실대학교","본교","대학교","서울","서울","동작구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"65","글로벌융합학부 글로벌IT공학전공(주간)","목원대학교","본교","대학교","대전","대전","서구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"66","글로벌인터랙티브융합콘텐츠학과(주간)","중앙대학교","본교","대학교","서울","서울","동작구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"67","글로벌학부 IT제조전공(주간)","창신대학교","본교","대학교","경남","경남","창원시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"68","데이터사이언스전공(주간)","명지대학교","제2캠퍼스","대학교","서울","서울","서대문구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"69","데이터사이언스전공(주간)","숙명여자대학교","본교","대학교","서울","서울","용산구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"70","데이터사이언스학과(주간)","인하대학교","본교","대학교","인천","인천","미추홀구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"71","데이터사이언스학과(주간)","화성의과학대학교","본교","대학교","경기","경기","화성시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"72","데이터인텔리전스전공(주간)","한양대학교(ERICA)","분교","대학교","경기","경기","안산시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"73","디자인컨버전스전공(주간)","한양대학교(ERICA)","분교","대학교","경기","경기","안산시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"74","디지털신기술창업융합전공(주간)","국립부경대학교","본교","대학교","부산","부산","남구","국립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"75","디지털융합학과(주간)","동의대학교","본교","대학교","부산","부산","부산진구","사립","주간","계약학과","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"76","디지털트윈소프트웨어학과(주간)","동양대학교","본교","대학교","경북","경기","동두천시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"77","디지털헬스케어심화전공(주간)","연세대학교(미래)","분교","대학교","강원","강원","원주시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"78","디지털헬스케어전공(주간)","연세대학교(미래)","분교","대학교","강원","강원","원주시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"79","디지털헬스케어학부(주간)","연세대학교(미래)","분교","대학교","강원","강원","원주시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"80","디지털헬스케어학부(주간)","연세대학교(미래)","분교","대학교","강원","강원","원주시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"81","디지펜게임공학과(주간)","계명대학교","본교","대학교","대구","대구","달서구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"82","만도소프트웨어전공(주간)","한라대학교","본교","대학교","강원","강원","원주시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"83","멀티미디어공학과(주간)","한남대학교","본교","대학교","대전","대전","대덕구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"84","멀티미디어전공(주간)","서원대학교","본교","대학교","충북","충북","청주시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"85","멀티미디어학과(주간)","인제대학교","본교","대학교","경남","경남","김해시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"86","멀티미디어학부(주간)","한남대학교","본교","대학교","대전","대전","대덕구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"87","메타버스&게임학과(주간)","순천향대학교","본교","대학교","충남","충남","아산시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"88","메타버스게임전공(주간)","강남대학교","본교","대학교","경기","경기","용인시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"89","메타융합콘텐츠전공(주간)","국립창원대학교","본교","대학교","경남","경남","창원시","국립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"90","메타융합콘텐츠학부(주간)","국립창원대학교","본교","대학교","경남","경남","창원시","국립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"91","모바일시스템공학과(주간)","단국대학교","본교","대학교","경기","경기","용인시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"92","모빌리티소프트웨어전공(주간)","경운대학교","본교","대학교","경북","경북","구미시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"93","모빌리티소프트웨어학과(주간)","계명대학교","본교","대학교","대구","대구","달서구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"94","미디어소프트웨어학과(주간)","성결대학교","본교","대학교","경기","경기","안양시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"95","미디어융합전공(주간)","영남대학교","본교","대학교","경북","경북","경산시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"96","미디어콘텐츠학부(주간)","서원대학교","본교","대학교","충북","충북","청주시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"97","미래모빌리티학과(주간)","고려대학교(세종)","분교","대학교","세종","세종","세종특별자치시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"98","미래모빌리티학부 모빌리티SW/AI융합전공(주간)","목원대학교","본교","대학교","대전","대전","서구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"99","미래모빌리티학부 스마트휴먼인터페이스전공(주간)","목원대학교","본교","대학교","대전","대전","서구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"100","미래모빌리티학부 첨단센서융합디바이스전공(주간)","목원대학교","본교","대학교","대전","대전","서구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"101","미래모빌리티학부(주간)","목원대학교","본교","대학교","대전","대전","서구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"102","미래자동차학과(주간)","경남대학교","본교","대학교","경남","경남","창원시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"103","미래자동차학과(주간)","유원대학교","본교","대학교","충북","충남","아산시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"104","빅데이터AI학부(주간)","호서대학교","본교","대학교","충남","충남","아산시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"105","빅데이터사이언스연계전공(주간)","서강대학교","본교","대학교","서울","서울","마포구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"106","빅데이터전공(주간)","동서대학교","본교","대학교","부산","부산","사상구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"107","사이버보안학과(주간)","이화여자대학교","본교","대학교","서울","서울","서대문구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"108","소프트웨어공학과(원격)","세종사이버대학교","본교","사이버대학(대학)","서울","서울","광진구","사립","원격","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"109","소프트웨어공학과(주간)","신한대학교","제2캠퍼스","대학교","경기","경기","의정부시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"110","소프트웨어공학과(주간)","전북대학교","본교","대학교","전북","전북","전주시","국립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"111","소프트웨어공학과(주간)","협성대학교","본교","대학교","경기","경기","화성시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"112","소프트웨어심화전공(주간)","연세대학교(미래)","분교","대학교","강원","강원","원주시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"113","소프트웨어엔지니어링학과(주간)","한일장신대학교","본교","대학교","전북","전북","완주군","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"114","소프트웨어융합대학(주간)","성균관대학교","본교","대학교","서울","경기","수원시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"115","소프트웨어융합전공(주간)","성공회대학교","본교","대학교","서울","서울","구로구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"116","소프트웨어융합전공(주간)","영남대학교","본교","대학교","경북","경북","경산시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"117","소프트웨어융합학과(주간)","경희대학교","본교","대학교","서울","경기","용인시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"118","소프트웨어융합학과(주간)","대구가톨릭대학교","본교","대학교","경북","경북","경산시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"119","소프트웨어융합학과(주간)","신한대학교","제2캠퍼스","대학교","경기","경기","의정부시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"120","소프트웨어융합학부(주간)","성공회대학교","본교","대학교","서울","서울","구로구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"121","소프트웨어응용학부(주간)","영남대학교","본교","대학교","경북","경북","경산시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"122","소프트웨어전공(주간)","국립금오공과대학교","본교","대학교","경북","경북","구미시","국립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"123","소프트웨어전공(주간)","국민대학교","본교","대학교","서울","서울","성북구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"124","소프트웨어전공(주간)","동서대학교","본교","대학교","부산","부산","사상구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"125","소프트웨어전공(주간)","연세대학교(미래)","분교","대학교","강원","강원","원주시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"126","소프트웨어학과(주간)","경북대학교","본교","대학교","대구","경북","상주시","국립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"127","소프트웨어학과(주간)","경성대학교","본교","대학교","부산","부산","남구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"128","소프트웨어학과(주간)","국립공주대학교","본교","대학교","충남","충남","천안시","국립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
