"No","학과명","학교명","구분","학교종류","학교지역","소재지","소재지(상세)","설립구분","주야구분","학과특성","표준분류계열(대)","표준분류계열(중)","표준분류계열(소)","관심"
"1","AI게임소프트웨어학과(주간)","명지전문대학","본교","전문대학","서울","서울","서대문구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"2","AI게임융합학과(주간)","서일대학교","본교","전문대학","서울","서울","중랑구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"3","AI응용소프트웨어과(야간)","동서울대학교","본교","전문대학","경기","경기","성남시","사립","야간","계약학과","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"4","IT콘텐츠융합과(주간)","한양여자대학교","본교","전문대학","서울","서울","성동구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"5","IT콘텐츠융합학과(야간)","한양여자대학교","본교","전문대학","서울","서울","성동구","사립","야간","학사학위전공심화(경력없음)","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"6","게임영상학과(주간)","울산과학대학교","본교","전문대학","울산","울산","동구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"7","게임콘텐츠과(3년제)(주간)","김포대학교","본교","전문대학","경기","경기","김포시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"8","게임콘텐츠과(3년제)(주간)","연성대학교","본교","전문대학","경기","경기","안양시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"9","게임콘텐츠과(3년제)(주간)","장안대학교","본교","전문대학","경기","경기","화성시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"10","게임콘텐츠과(야간)","경민대학교","본교","전문대학","경기","경기","의정부시","사립","야간","산업체위탁","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"11","게임콘텐츠과(주간)","경민대학교","본교","전문대학","경기","경기","의정부시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"12","게임콘텐츠과(주간)","동서울대학교","본교","전문대학","경기","경기","성남시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"13","게임콘텐츠스쿨(주간)","구미대학교","본교","전문대학","경북","경북","구미시","사립","주간","계약학과","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"14","글로벌IT학과(주간)","충북보건과학대학교","본교","전문대학","충북","충북","청주시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"15","디지털마케팅공학과(주간)","인하공업전문대학","본교","전문대학","인천","인천","미추홀구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"16","디지털콘텐츠과(주간)","한국폴리텍 I 대학 서울강서캠퍼스","본교","기능대학","서울","서울","강서구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"17","디지털콘텐츠학과(야간)","한림성심대학교","본교","전문대학","강원","강원","춘천시","사립","야간","학사학위전공심화(경력없음)","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"18","멀티미디어디자인과(야간)","서영대학교","본교","전문대학","광주","경기","파주시","사립","야간","산업체위탁","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"19","멀티미디어디자인과(주간)","서영대학교","본교","전문대학","광주","경기","파주시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"20","메타버스크리에이터과(3년제)(주간)","수성대학교","본교","전문대학","대구","대구","수성구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"21","모바일소프트웨어과(주간)","배화여자대학교","본교","전문대학","서울","서울","종로구","사립","주간","계약학과","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
